BRD_CD,CTGR,SUB_CTGR,CTGR_GRP
M,ATC,DC,기타
M,ATC,ET,기타
M,ATC,GL,기타
M,ATC,JA,기타
M,ATC,JB,기타
M,ATC,JC,기타
M,ATC,JD,기타
M,ATC,MF,기타
M,ATC,ML,기타
M,ATC,PE,기타
M,ATC,PO,기타
M,ATC,SO,기타
M,ATC,TW,기타
M,BAG,BG,가방
M,BAG,BK,가방
M,BAG,BM,가방
M,BAG,BQ,가방
M,BAG,BW,가방
M,BAG,BZ,가방
M,BAG,CR,가방
M,BAG,HS,가방
M,BAG,MR,가방
M,BAG,OR,가방
M,BAG,SG,가방
M,BAG,TG,가방
M,BAG,UB,가방
M,BOT,DP,의류
M,BOT,DS,의류
M,BOT,DT,의류
M,BOT,LG,의류
M,BOT,PT,의류
M,BOT,SB,의류
M,BOT,SK,의류
M,BOT,SM,의류
M,BOT,SP,의류
M,BOT,SW,의류
M,BOT,TB,의류
M,BOT,TP,의류
M,BOT,WP,의류
M,HEA,BN,모자
M,HEA,CB,모자
M,HEA,CP,모자
M,HEA,HT,모자
M,HEA,MC,모자
M,HEA,SC,모자
M,HEA,WM,모자
M,HEA,WR,모자
M,INN,BS,의류
M,INN,DD,의류
M,INN,DR,의류
M,INN,HD,의류
M,INN,KP,의류
M,INN,MT,의류
M,INN,OP,의류
M,INN,PQ,의류
M,INN,RL,의류
M,INN,RS,의류
M,INN,S2,의류
M,INN,SW,의류
M,INN,TK,의류
M,INN,TO,의류
M,INN,TR,의류
M,INN,TS,의류
M,INN,WS,의류
M,INN,ZT,의류
M,OUT,CT,의류
M,OUT,DJ,의류
M,OUT,DK,의류
M,OUT,DV,의류
M,OUT,FD,의류
M,OUT,JK,의류
M,OUT,JP,의류
M,OUT,KC,의류
M,OUT,KT,의류
M,OUT,LE,의류
M,OUT,PD,의류
M,OUT,SS,의류
M,OUT,TR,의류
M,OUT,VT,의류
M,OUT,WJ,의류
M,SHO,CV,신발
M,SHO,LP,신발
M,SHO,MU,신발
M,SHO,RN,신발
M,SHO,SD,신발
M,SHO,SH,신발
M,SHO,SQ,신발
M,SHO,SX,신발
M,SHO,WB,신발
M,WTC,BR,
M,WTC,BV,
M,WTC,S1,
M,WTC,S2,
M,WTC,S5,
M,WTC,S6,
X,ATC,AC,기타
X,ATC,DC,기타
X,ATC,GL,기타
X,ATC,SO,기타
X,BAG,BK,가방
X,BAG,BM,가방
X,BAG,BQ,가방
X,BAG,BZ,가방
X,BAG,CR,가방
X,BAG,HS,가방
X,BAG,MR,가방
X,BAG,OR,가방
X,BAG,SG,가방
X,BAG,TG,가방
X,BOT,DS,의류
X,BOT,LG,의류
X,BOT,PT,의류
X,BOT,SB,의류
X,BOT,SK,의류
X,BOT,SM,의류
X,BOT,SP,의류
X,BOT,TB,의류
X,BOT,TP,의류
X,BOT,WP,의류
X,HEA,BN,모자
X,HEA,CP,모자
X,HEA,HT,모자
X,HEA,WM,모자
X,INN,HD,의류
X,INN,MT,의류
X,INN,OP,의류
X,INN,PQ,의류
X,INN,RL,의류
X,INN,RS,의류
X,INN,SW,의류
X,INN,TL,의류
X,INN,TO,의류
X,INN,TR,의류
X,INN,TS,의류
X,INN,WS,의류
X,INN,ZT,의류
X,OUT,DJ,의류
X,OUT,DV,의류
X,OUT,JP,의류
X,OUT,KC,의류
X,OUT,PD,의류
X,OUT,SS,의류
X,OUT,VT,의류
X,OUT,WJ,의류
X,SHO,LP,신발
X,SHO,RN,신발
X,SHO,SH,신발
X,WTC,BR,
X,WTC,S1,
