대분류,중분류,소분류,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
TAG매출,홍콩리테일,리테일,"25,739","10,756","10,216","11,170","11,462","10,065","13,047","13,762","8,466","12,384","13,203","16,127"
TAG매출,홍콩 아울렛,아울렛,"7,723","3,653","4,716","4,448","4,088","3,196","5,262","7,917","12,195","4,704","5,652","6,841"
TAG매출,홍콩온라인,온라인,577,430,278,288,391,603,420,"1,536",766,"1,296","1,791","1,927"
TAG매출,마카오 리테일,리테일,"8,650","5,579","4,442","4,464","4,715","4,002","5,554","7,687","3,457","5,405","5,489","5,705"
TAG매출,마카오 아울렛,아울렛,"2,345","1,416","1,184",976,968,664,"1,093","1,742",817,889,"1,203",983
TAG매출,대만 리테일(V+),리테일,"11,705","6,302","6,087","6,675","10,455","8,163","7,796","8,223","6,208","9,410","11,812","12,157"
TAG매출,대만 아울렛(V+),아울렛,"7,605","3,258","2,619","3,194","3,336","3,437","3,303","3,419","3,053","3,667","4,302","4,426"
TAG매출,대만온라인(V+),온라인,"4,583","4,192","3,996","3,477","4,458","4,733","4,112","3,349","3,896","4,915","7,730","6,894"
실판매출,홍콩리테일,리테일,"22,765","9,613","9,285","9,984","10,140","8,931","11,388","12,030","7,574","10,997","11,758","14,379"
실판매출,홍콩 아울렛,아울렛,"4,524","2,205","2,786","2,694","2,474","1,957","2,898","3,687","4,551","2,770","3,285","4,113"
실판매출,홍콩온라인,온라인,449,321,223,231,330,505,324,771,589,936,"1,269","1,363"
실판매출,마카오 리테일,리테일,"7,631","4,944","4,007","4,020","4,190","3,566","4,907","6,735","3,121","4,840","4,947","5,140"
실판매출,마카오 아울렛,아울렛,"1,365",812,690,604,604,406,590,854,417,534,708,601
실판매출,대만 리테일,리테일,"9,961","5,434","4,876","5,679","8,704","7,065","6,784","7,165","5,333","7,890","9,731","9,907"
실판매출,대만 아울렛,아울렛,"3,906","1,729","1,381","1,744","1,848","1,804","1,740","1,855","1,537","1,845","2,277","2,294"
실판매출,대만온라인,온라인,"2,991","3,098","2,950","2,557","3,374","3,456","3,036","2,532","2,882","3,569","5,675","5,036"
매출원가,매출원가합계,,"22,843","11,989","11,253","11,433","13,137","11,550","13,376","15,540","12,815","14,073","16,863","18,142"
Tag대비 원가율,Tag대비 원가율합계,,33.10%,33.70%,33.60%,33.00%,32.90%,33.10%,33.00%,32.60%,33.00%,33.00%,32.90%,32.90%
매출총이익,매출총이익합계,,"30,749","16,167","14,945","16,080","18,527","16,141","18,291","20,089","13,188","19,309","22,787","24,691"
오프라인 직접비,매장급여,,"3,299","2,593","2,576","2,621","3,017","2,728","3,122","3,184","2,805","3,052","3,086","4,224"
오프라인 직접비,매장관리비,,"1,060",998,"1,168","1,069","1,100","1,160","1,267","1,227","1,283","1,259","1,173","1,257"
오프라인 직접비,매장광고비,,217,85,87,242,284,212,171,256,168,206,155,560
오프라인 직접비,물류비(Tag대비),,"1,821","1,831","1,693","1,445","1,317","1,196","1,416","1,545","1,635","1,452","1,307","1,279"
오프라인 직접비,지급수수료,,606,348,295,326,368,333,368,389,342,391,418,549
오프라인 직접비,매장임차료,,"9,064","7,344","7,202","7,535","7,686","7,536","6,969","7,765","7,328","7,674","8,019","7,578"
오프라인 직접비,매장감가상각비,,"1,013",923,919,963,916,932,988,980,833,905,906,949
오프라인 직접비,매장기타,,419,394,418,475,549,468,529,691,493,528,572,448
온라인 직접비,지급수수료,,409,380,341,310,397,431,346,407,378,493,798,732
온라인 직접비,매장광고비,,203,294,107,203,153,239,294,184,165,232,455,518
온라인 직접비,매장관리비,,69,56,56,50,59,78,51,42,62,69,100,69
온라인 직접비,물류비(Tag대비),,215,219,190,216,240,288,229,243,245,271,428,327
온라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,급여,,797,800,"1,048",930,851,953,903,931,932,947,925,"1,297"
영업비,광고비,,450,421,532,443,659,488,564,583,679,705,813,726
영업비,여비교통비,,120,42,68,44,54,92,72,80,60,29,34,68
영업비,지급수수료 일반,,8,7,"1,066",-2,-160,15,2,17,-85,-18,26,147
영업비,임차료,,196,195,200,194,172,173,172,186,185,168,166,163
영업비,감가상각비,,38,38,38,38,38,38,39,39,59,59,59,49
영업비,보험료,,54,48,49,54,57,58,58,78,56,55,55,58
영업비,기타,,220,380,407,293,420,311,451,448,370,386,324,"1,214"
직접비+영업비,직접비+영업비 계,,"20,278","17,395","18,459","17,449","18,177","17,729","18,011","19,276","17,992","18,864","19,818","22,213"
영업이익,영업이익 계,,"10,471","-1,229","-3,514","-1,369",350,"-1,588",280,814,"-4,804",445,"2,968","2,478"
