대분류,중분류1,중분류2,소분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
영업활동,입금,매출수금,홍콩마카오,"32,479","21,958","17,282","17,315","17,049","15,460","19,720","21,834","18,116","20,096","20,244","27,335",248887.1156
영업활동,입금,매출수금,대만,"9,366","15,247","16,499","8,874","7,129","9,607","10,785","8,998","9,618","9,338","8,688","15,440",129590.1769
영업활동,지출,물품대,홍콩마카오,"-16,643","-11,164","-4,537","-5,144","-8,412","-1,035","-6,601","-6,919","-4,311","-4,044","-8,433","-10,001",-87242.6645
영업활동,지출,물품대,대만,"-6,066","-6,865","-6,866","-6,906","-7,998","-5,105","-6,229","-3,622","-3,347","-4,717","-4,876","-6,255",-68851.35825
기타,기타입금,기타입금,홍콩마카오,8,0,"1,245",0,"2,000",0,7,0,847,0,19,23,4149.779156
기타,기타입금,기타입금,대만,1,3,4,39,0,51,14,1,5,1,1,45,164.1281785
영업활동,지출,홍콩마카오,광고비,-381.48459,-396.37122,-274.38563,-339.58582,-302.54573,-130.75725,-281.28549,-514.4967655,-382.68034,-436.16521,-170.04171,-1884.8423,-5494.642055
영업활동,지출,홍콩마카오,매장 임차료,-7427.96875,-5860.93862,-6093.37408,-6576.99873,-5190.18316,-5426.99156,-5746.7632,-4511.79697,-5687.61216,-5836.77898,-5444.81266,-6021.48317,-69825.70204
영업활동,지출,홍콩마카오,매장 운영비,-2740.007491,-3004.747682,-3215.961571,-3553.062344,-3430.608842,-2564.7498,-2386.474392,-2403.359549,-3396.243649,-3103.172077,-3902.868793,-2654.354789,-36355.61098
영업활동,지출,홍콩마카오,사무실 운영비,-581.7933054,-628.85726,-320.24724,-298.61841,-571.74485,-377.52311,-308.52627,-623.10037,-617.98277,-397.78262,-481.80067,-277,-5485.251701
영업활동,지출,홍콩마카오,수입관세,,,,,,,,,,,,,0
영업활동,지출,홍콩마카오,인건비,-3734.722478,-2971.465145,-2338.75283,-4408.949226,-635.69225,-2702.58424,-2475.66909,-2913.88636,-2966.457614,-2729.427532,-2994.18924,"-3,355",-34227.2027
영업활동,지출,홍콩마카오,보증금지급,-36.3,0,-606.39,-100,-1205.9175,-1528.5267,-1101.1765,-49,-240.1772,-72,-0.918,-113.373,-5053.7789
영업활동,지출,홍콩마카오,기타,0,0,0,0,-238.26,-721.8189,-358.9155,-47.857,0,0,0,-92.013,-1458.8644
영업활동,지출,대만,광고비,-416.6478545,-457.8630046,-249.7445396,-353.4046336,-284.0660759,-602.306912,-291.8831152,-357.4776688,-305.6078902,-415.5523803,-385.2409404,-732,-4851.999454
영업활동,지출,대만,매장 임차료,-157.9543504,-157.9543504,-157.9543504,-157.9543504,-158,-158,-158,-170.1046851,-170.1046851,-170.1046851,-170.1046851,-170.1046851,-1956.203878
영업활동,지출,대만,매장 운영비,-432.8828886,-181.0844565,-880.496114,-937.0204428,-855.2144266,-888.0604263,-990.980565,-891.1643508,-812.4746525,-955.5752188,-956.1149367,-1111.181153,-9892.249631
영업활동,지출,대만,사무실 운영비,-890.8319176,-253.0414114,-723.0037192,-265.8048519,-211.1997899,-212.1297766,-698.346875,-446.8922245,-1536.106058,-187.4033595,-349.8944019,-262.6569432,-6037.311329
영업활동,지출,대만,수입관세,-2090.059498,-1655.642994,-1024.569193,-533.5141472,-301.7858809,-345.6826099,-586.6288492,-1837.346875,-1301.383706,-1078.415345,-1286.358845,-418.9620072,-12460.34995
영업활동,지출,대만,인건비,-1537.086833,-1394.073506,-1461.530949,-1097.328313,-1173.500219,-1317.896011,-1257.446881,-1301.731935,-1320.33434,-1185.492356,-1310.487223,"-1,577",-15933.53332
영업활동,지출,대만,보증금지급,0,0,0,0,0,0,0,-112.7866964,0,0,0,0,-112.7866964
영업활동,지출,대만,기타,0,0,0,0,0,-1271.606152,-13.39574395,0,0,0,0,0,-1285.001896
자산성지출,지출,인테리어/VMD,홍콩마카오,0,0,0,0,-18.48259,0,-2169.298252,-2775.61668,-1848,-2850.97029,-1676.47181,-26.44994,-11365.28956
자산성지출,지출,인테리어/VMD,대만,-748.5395916,-218.7060237,-225.2309964,-564.7402643,-891.8753884,-1132.071952,-841.2653564,-969.9038655,-575.2337793,-477.8869991,-502.3995703,-541.0291292,-7688.882916
자산성지출,지출,비품취득,홍콩마카오,0,0,0,0,-54.6975,-9,-154.90473,-12.4975,-219.75395,-90.327,-85.916,-69,-696.09568
자산성지출,지출,비품취득,대만,0,0,0,0,0,0,0,0,0,0,0,0,0
순현금흐름,Net Cash,수익-지출,홍마대,-2029.609438,1999.091662,6055.441151,-5007.835615,-5755.595476,-411.9120303,"-2,126",353,-452,687,"-4,076",7280.059663,-3483.579968
현금잔액,잔액,기말잔액,홍콩마카오,26361.27777,24293.00651,25434.49171,22328.65879,21317.59621,"22,280",20422.76904,21485.94174,20778.95461,21314.24554,18387.24136,21250.25147,21250.25147
현금잔액,잔액,기말잔액,대만,4755.172781,8822.535699,13736.49165,11834.48896,7089.956057,5715.286878,5447.255526,4737.354485,4991.959887,5144.145259,3995.178996,8412.228546,8412.228546
