Country,LOCAL_SHOP_CD
HK,M99
HK,M01
HK,M02
HK,M05
HK,M03
HK,M07
HK,M08
HK,M09
HK,M10
HK,M11
HK,M13
HK,M14
HK,M15
HK,HE1
HK,HE2
HK,M12
HK,M16
HK,M17
HK,M18
HK,M19
HK,M20
HK,M21
HK,M22
HK,X01
HK,XE1
MC,W01
MC,MC1
MC,MC2
MC,MC3
MC,MC4
TW,T99
TW,T01
TW,T02
TW,T03
TW,T04
TW,TU1
TW,T05
TW,T06
TW,TU2
TW,T07
TW,T08
TW,T09
TW,T10
TW,T11
TW,T12
TW,T13
TW,TE1
TW,TE2
TW,TE3
TW,T15
TW,TE4
TW,T16
TW,T14
TW,TU3
TW,T17
TW,T18
TW,T19
TW,D01
TW,D02
TW,D03
TW,D04
TW,D05
TW,D06
TW,DE1
TW,DE2
HK,WHM
TW,WTM
TW,WTE
HK,OSH
HK,DMG
HK,WH3
TW,TB4
TW,WMS
TW,DMT
TW,WES
TW,WED
TW,TB5
HK,M14DGM
HK,MC3DGM
HK,MC1DGM
HK,M05DGM
HK,M18DGM
HK,M10DGM
HK,M5L
HK,WH2
HK,M11DGM
HK,M22DGM
HK,MC2DGM
HK,M02DGM
HK,16L
TW,T10DGM
HK,M19DGM
HK,WMM
HK,XHWKM
HK,M8L
TW,TU3DGM
HK,M6L
HK,XHOSH
TW,DTE
HK,M4L
TW,TB3
HK,M7L
HK,QRW
TW,TES
HK,X99
TW,DTM
HK,10L
HK,12L
HK,M00
HK,M06
HK,M1L
HK,M3L
HK,WH1
HK,XH1
HK,XH2
HK,XHM
HK,WCM
HK,M2L
HK,15L
TW,OST
TW,T02DGM
TW,TMS
HK,18L
TW,DES
TW,TB2
TW,TB1
HK,C1L
HK,C2L
HK,M04
HK,WM1
HK,XH3
HK,XHDMG
HK,DMM
HK,WKM
HK,M9L
