대리상 명칭, 외상매출금 , 선수금 
"Shanghai Lingbo Trading Co., Ltd.","103,135,944","48,804,371"
"Harbin Linjia Trading Co., Ltd.","48,895,863","20,192,021"
"Ivy (Guangzhou) Investment Co., Ltd.","43,046,468","14,496,383"
"Beijing Xinju Shengye Clothing Co., Ltd.","35,728,574","16,706,967"
"Hangzhou Yuzhen Commercial Co., Ltd.","48,467,224","29,630,102"
"Henan Jinanxin Trading Co., Ltd.","28,287,837","11,106,543"
"Jiangsu Junxi Network Technology Co., Ltd.","30,359,216","17,627,810"
"Beijing Jingrui Trading Development Co., Ltd.","25,450,339","15,306,842"
"Chengdu Baokang Clothing Trading Co., Ltd.","25,880,206","15,974,301"
"Yifan (Shanghai) Brand Management Co., Ltd.","27,758,920","18,870,456"
"Wuhan Moding Trading Co., Ltd.","20,248,535","14,498,146"
"Shenzhen Pros Trading Co., Ltd.","13,401,163","8,352,044"
"Changsha Poyu Trading Co., Ltd.","16,389,057","11,388,003"
"Shenyang Ruiyuanhe Trading Co., Ltd.","10,942,358","6,432,771"
"Xiamen Shiyun Trading Co., Ltd.","11,476,794","7,197,908"
"Chongqing Xuan Ge Trading Co., Ltd.","11,858,085","7,599,792"
"Inner Mongolia Xuya Trading Co., Ltd.","10,599,942","6,665,005"
"Jiangxi Chaoming Trend Trading Co., Ltd.","9,618,337","5,746,133"
"Yunnan Hengpan Trading Co., Ltd.","11,824,551","7,979,252"
"Shenzhen Youying Trading Co., Ltd.","8,773,518","5,256,140"
"Shenyang Gufugu Trading Co., Ltd.","15,685,734","12,793,995"
"Xiamen Bailun Apparel Co., Ltd.","7,531,767","4,993,762"
"Shanxi Linghao International Trading Co., Ltd.","12,583,590","10,102,230"
"Nanning Fino Electronics Technology Co., Ltd.","7,420,732","5,300,982"
"Beijing Qimiao Technology Co., Ltd.","4,844,507","2,950,425"
"Xingyuhongwen (Shenyang) Trading Co., Ltd.","4,577,735","2,730,333"
"Xinjiang Xin Sanshi Trading Co., Ltd.","4,904,745","3,338,962"
"Shandong Dejunfeng Brand Management Co., Ltd.",19328154,"17,846,656"
"Beijing Trend Trading Co., Ltd.","3,219,200","1,840,404"
"Huachu Yitong International Trading Co., Ltd.","12,444,051","11,157,831"
"Xi’an Naji Power Trading Co., Ltd.","9,358,075","8,072,070"
"Beijing Jiashang International Fashion Co., Ltd.","12,477,591","11,238,062"
"Chengdu Laiheng Trading Co., Ltd.","2,981,110","1,944,027"
"Fengsheng (Guangzhou) Brand Management Co., Ltd.","987,306",
"Fruida (Shenyang) Trading Co., Ltd.","582,432",
"Wuhan Dingshang Trading Co., Ltd.","246,743",
"Changchun Enhe Brand Management Co., Ltd.","91,489",
"Hangzhou Youliu Network Technology Co., Ltd.","716,698","653,396"
"Jiangsu Soho International Group Co., Ltd.","10,656,836",12139346.2
Ningbo Shanyu,,"5,835,982"
"Xi’an Meishang Apparel Trading Co., Ltd.",,
"Jiangsu Lucky Leaf Digital Technology Co., Ltd.","61,330",606224.03
"Beijing Lanmeng Yuqi Trading Co., Ltd.","150,959",581656.24
"Urumqi Chuying Haohan Trading Co., Ltd.","99,347",133575
"Shanxi Yingxuan Trading Co., Ltd.",-101793.5,
"Wanchen Jiayun (Beijing) Apparel Co., Ltd.",,95598.99
Shandong Qingdao Purchasing Agent,,100.2
